code,name
avia325,Professional Pilot Program Course 5
avia346,Preparatory Ground Instruction 6
avia347,Preparatory Ground Instruction 7
avia374,Special Topics in Aviation
avia408,Professional Pilot Program Course 8
avia416,Aviation Sustainability
avia417,Aviation Safety
avia426,Professional Pilot Program Course 6
avia474,Special Topics in Aviation
avia475,Independent Studies of Selected Topics
avia601,Interdisciplinary Aeronautics
avia602,Interdisciplinary Aeronautics Project
avia802,Interdisciplinary Aeronautics Project - PhD Level
base32,Introduction to Skills & Strategies for University
base34,Introduction to Academic Writing and Research Skills
base36,Introduction to Academic Speaking and Communication Strategies
base42,Enhanced Skills & Strategies for University
base44,Extended Academic Writing and Research Skills
base46,Effective Academic Speaking and Communication Strategies
be600,Management and Leadership
be601,Introduction to Financial and Managerial Accounting
be602,Data Analysis and Management
be603,Operations and Supply Chain Management
be604,Marketing Management
be605,Project Management
be606,Entrepreneurship and Innovation
be610,Special Topics in Business and Entrepreneurship
be620,Business Strategy
be660,Negotiations
be680,Consulting
bet100,Foundations of Entrepreneurial Practice
bet201,Entrepreneurial Problem Solving
bet210,Business Technology and Infrastructure
bet300,Foundations of Venture Creation
bet310,Enterprise Co-op Entrepreneurship Planning and Execution
bet320,Entrepreneurial Strategy
bet340,Essentials of Entrepreneurial Planning and Execution
bet350,Customer Experience Design
bet360,Design Frameworks for Social Ventures
bet400,Marketing Foundations for Early-Stage Ventures
bet405,Digital Leadership and Transformation
bet410a,Capstone Entrepreneurship Planning and Execution Part 1
bet410b,Capstone Entrepreneurship Planning and Execution Part 2
bet411,Milestone Planning and Execution
bet412,Advanced Topics in Entrepreneurship
bet420,Entrepreneurship for Social Impact
bet430,Sales Fundamentals
bet450,Leadership
bet460,Business Negotiations
bet470,Family Business
bet580,Consulting
bet600,Applied Business Leadership Skills for Entrepreneurs
bet601,Strategically Managing the Entrepreneurial Organization
bet602,Marketing Strategies for New Technology-based Ventures
bet603,Entrepreneurial Finance for the Technology-based Enterprise
bet604,New Technology-based Venture Creation
bet605,Essential Accounting for Entrepreneurs
bet606,Entrepreneurial Applications of Digital Media
bet607,Managing Technological Innovation
bet608,Business Model Validation
bet612,Entrepreneurial Organizations
bet615,Corporate Innovation and Consulting
bet620,Social Entrepreneurship
bet700,"Topics in Business, Entrepreneurship and Technology"
bet701,Entrepreneurship Theory
bet702,Organization Behaviour
bet703,Business Strategy
bet704,Business Research Methods
biol101,Biology in the Modern World
biol110,"Biodiversity, Biomes, and Evolution"
biol110w,Unifying Life Processes (WLU)
biol111w,Biol Diversity & Evo (WLU)
biol112,Introductory Biology 2
biol120,Introduction to Plant Structure and Function
biol130,Introductory Cell Biology
biol130l,Cell Biology Laboratory
